2025-05-05 11:29:15 Trừ đi @Tân Thủ Tiên Cô - 2 Admin,2002,127.0.0.1,admin lượng 0 -500 0 1_156_140
2025-05-05 11:29:54 Trừ đi @/inh/equip/family Admin,2002,127.0.0.1,admin lượng 0 -50 0 61_149_106
2025-05-05 19:28:11 Đã mua @Ngân Khố Admin,2002,127.0.0.1,admin Trạng Nguyên Phục /item/std/0004;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3011#]0,0 1 #3011# 80_282_177
2025-05-05 19:28:13 Đã mua @Ngân Khố Admin,2002,127.0.0.1,admin Phụng Quan Hà Ấp /item/std/0005;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3012#]0,0 1 #3012# 80_282_177
2025-05-05 19:28:16 Đã mua @Ngân Khố Admin,2002,127.0.0.1,admin Trạng Nguyên Phục /item/std/0004;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3013#]0,0 1 #3013# 80_282_177
2025-05-05 19:29:00 Đã mua @Ngân Khố Admin,2002,127.0.0.1,admin Trạng Nguyên Phục /item/std/0004;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3014#]0,0 1 #3014# 80_282_177
2025-05-05 19:29:03 Đã mua @Ngân Khố Admin,2002,127.0.0.1,admin Lễ Phục /item/trangphuc/ngoaitrang/03;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3015#]0,0 1 #3015# 80_282_177
2025-05-05 19:30:37 Đã mua @Ngân Khố Admin,2002,127.0.0.1,admin Hôn Sa /item/trangphuc/ngoaitrang/04;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3016#]0,0 1 #3016# 80_282_177
2025-05-05 19:30:39 Đã mua @Ngân Khố Admin,2002,127.0.0.1,admin Lễ Phục /item/trangphuc/ngoaitrang/03;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3017#]0,0 1 #3017# 80_282_177
2025-05-05 19:30:41 Đã mua @Ngân Khố Admin,2002,127.0.0.1,admin Phụng Quan Hà Ấp /item/std/0005;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3018#]0,0 1 #3018# 80_282_177
2025-05-05 19:30:44 Đã mua @Ngân Khố Admin,2002,127.0.0.1,admin Trạng Nguyên Phục /item/std/0004;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3019#]0,0 1 #3019# 80_282_177
2025-05-05 19:32:01 [FASHION] Tổng hợp biến mất Admin,2002,127.0.0.1,admin @ Lễ Phục /item/trangphuc/ngoaitrang/03;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3017#]0,0 1 #3017# 80_282_177
2025-05-05 19:32:12 获得 @/cmd/std/fashionmix Admin,2002,127.0.0.1,admin Hắc Phục /item/trangphuc/ngoaitrang/sp1;0;0;0;bind:6,ADD:,=:2,+:0,$:500,B:0,;[#3020#]0,0 1 #3020# 80_282_177
2025-05-05 19:32:12 [FASHION Thành công] Tổng hợp biến mất Admin,2002,127.0.0.1,admin @ Lễ Phục /item/trangphuc/ngoaitrang/03;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3017#]0,0 1 #3017# 80_282_177
2025-05-05 19:36:16 获得 @/cmd/debug/clone Admin,2002,127.0.0.1,admin Phong Hành Giả Trang(Nữ) /item/100/11059;0;35099;35099;!%:1000,|!%:1000,dp:300,|dp:300,pp:300,|pp:300,hp:500,|hp:500,?%:500,|?%:500,bind:4,ADD:,=:2,+:0,$:50,B:0,;[#3021#]0,0 1 #3021# 80_282_177
2025-05-05 19:36:39 获得 @/cmd/debug/clone Admin,2002,127.0.0.1,admin Phong Hành Giả Trang (Nam) /item/100/10059;0;35099;35099;!%:1000,|!%:1000,dp:300,|dp:300,pp:300,|pp:300,hp:500,|hp:500,?%:500,|?%:500,bind:4,ADD:,=:2,+:0,$:50,B:0,;[#3022#]0,0 1 #3022# 80_282_177
2025-05-05 19:37:11 获得 @/cmd/debug/clone Admin,2002,127.0.0.1,admin Phong Hành Giả Trang (Nam) /item/100/10059;0;35099;35099;!%:1000,|!%:1000,dp:300,|dp:300,pp:300,|pp:300,hp:500,|hp:500,?%:500,|?%:500,bind:4,ADD:,=:2,+:0,$:50,B:0,;[#3023#]0,0 1 #3023# 80_282_177
2025-05-05 19:37:54 获得 @/cmd/debug/clone Admin,2002,127.0.0.1,admin Phong Hành Giả Trang(Nữ) /item/100/11059;0;35099;35099;!%:1000,|!%:1000,dp:300,|dp:300,pp:300,|pp:300,hp:500,|hp:500,?%:500,|?%:500,bind:4,ADD:,=:2,+:0,$:50,B:0,;[#3024#]0,0 1 #3024# 80_281_175
