2025-05-06 09:42:07 Đã mua @Ngân Khố Admin,2002,127.0.0.1,admin Thiên Nguyên Đan /item/sell/0042;1;[#3025#]0,0 1 #3025# 80_288_132
2025-05-06 09:42:09 Sử dụng Admin,2002,127.0.0.1,admin @ Thiên Nguyên Đan /item/sell/0042;1;[#3025#]0,0 1 #3025# 80_288_132
2025-05-06 20:33:56 Vứt bỏ Admin,2002,127.0.0.1,admin @ Phong Hành Giả Trang (Nữ) /item/100/11059;0;35099;35099;!%:1000,|!%:1000,dp:300,|dp:300,pp:300,|pp:300,hp:500,|hp:500,?%:500,|?%:500,bind:4,ADD:,=:2,+:0,$:50,B:0,;[#3021#]1747658182,0 1 #3021# 80_296_135
2025-05-06 20:33:57 Vứt bỏ Admin,2002,127.0.0.1,admin @ Phong Hành Giả Trang (Nữ) /item/100/11059;0;35099;35099;!%:1000,|!%:1000,dp:300,|dp:300,pp:300,|pp:300,hp:500,|hp:500,?%:500,|?%:500,bind:4,ADD:,=:2,+:0,$:50,B:0,;[#3021#]1747658182,0 1 #3021# 80_296_135
2025-05-06 20:33:57 Vứt bỏ Admin,2002,127.0.0.1,admin @ Phong Hành Giả Trang (Nữ) /item/100/11059;0;35099;35099;!%:1000,|!%:1000,dp:300,|dp:300,pp:300,|pp:300,hp:500,|hp:500,?%:500,|?%:500,bind:4,ADD:,=:2,+:0,$:50,B:0,;[#3021#]1747658182,0 1 #3021# 80_296_135
2025-05-06 20:33:58 Vứt bỏ Admin,2002,127.0.0.1,admin @ Trạng Nguyên Phục /item/std/0004;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3010#]1747658502,0 1 #3010# 80_296_135
2025-05-06 20:33:58 Vứt bỏ Admin,2002,127.0.0.1,admin @ Trạng Nguyên Phục /item/std/0004;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3010#]1747658502,0 1 #3010# 80_296_135
2025-05-06 20:33:58 Vứt bỏ Admin,2002,127.0.0.1,admin @ Trạng Nguyên Phục /item/std/0004;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3010#]1747658502,0 1 #3010# 80_296_135
2025-05-06 20:34:00 Vứt bỏ Admin,2002,127.0.0.1,admin @ Trạng Nguyên Phục /item/std/0004;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3011#]1747658490,0 1 #3011# 80_296_135
2025-05-06 20:34:01 Vứt bỏ Admin,2002,127.0.0.1,admin @ Trạng Nguyên Phục /item/std/0004;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3011#]1747658490,0 1 #3011# 80_296_135
2025-05-06 20:34:01 Vứt bỏ Admin,2002,127.0.0.1,admin @ Trạng Nguyên Phục /item/std/0004;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3011#]1747658490,0 1 #3011# 80_296_135
2025-05-06 20:34:02 Vứt bỏ Admin,2002,127.0.0.1,admin @ Phong Hành Giả Trang (Nam) /item/100/10059;0;35099;35099;!%:1000,|!%:1000,dp:300,|dp:300,pp:300,|pp:300,hp:500,|hp:500,?%:500,|?%:500,bind:4,ADD:,=:2,+:0,$:50,B:0,;[#3009#]1747709314,0 1 #3009# 80_296_135
2025-05-06 20:34:02 Vứt bỏ Admin,2002,127.0.0.1,admin @ Phong Hành Giả Trang (Nam) /item/100/10059;0;35099;35099;!%:1000,|!%:1000,dp:300,|dp:300,pp:300,|pp:300,hp:500,|hp:500,?%:500,|?%:500,bind:4,ADD:,=:2,+:0,$:50,B:0,;[#3009#]1747709314,0 1 #3009# 80_296_135
2025-05-06 20:34:02 Vứt bỏ Admin,2002,127.0.0.1,admin @ Phong Hành Giả Trang (Nam) /item/100/10059;0;35099;35099;!%:1000,|!%:1000,dp:300,|dp:300,pp:300,|pp:300,hp:500,|hp:500,?%:500,|?%:500,bind:4,ADD:,=:2,+:0,$:50,B:0,;[#3009#]1747709314,0 1 #3009# 80_296_135
2025-05-06 20:34:04 Vứt bỏ Admin,2002,127.0.0.1,admin @ Phụng Quan Hà Ấp /item/std/0005;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3007#]0,0 1 #3007# 80_296_135
2025-05-06 20:34:04 Vứt bỏ Admin,2002,127.0.0.1,admin @ Phụng Quan Hà Ấp /item/std/0005;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3007#]0,0 1 #3007# 80_296_135
2025-05-06 20:34:04 Vứt bỏ Admin,2002,127.0.0.1,admin @ Phụng Quan Hà Ấp /item/std/0005;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3007#]0,0 1 #3007# 80_296_135
2025-05-06 20:34:05 Vứt bỏ Admin,2002,127.0.0.1,admin @ Phụng Quan Hà Ấp /item/std/0005;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3012#]0,0 1 #3012# 80_296_135
2025-05-06 20:34:06 Vứt bỏ Admin,2002,127.0.0.1,admin @ Phụng Quan Hà Ấp /item/std/0005;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3012#]0,0 1 #3012# 80_296_135
2025-05-06 20:34:06 Vứt bỏ Admin,2002,127.0.0.1,admin @ Phụng Quan Hà Ấp /item/std/0005;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3012#]0,0 1 #3012# 80_296_135
2025-05-06 20:34:06 Vứt bỏ Admin,2002,127.0.0.1,admin @ Trạng Nguyên Phục /item/std/0004;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3004#]1747629103,0 1 #3004# 80_296_135
2025-05-06 20:34:07 Vứt bỏ Admin,2002,127.0.0.1,admin @ Trạng Nguyên Phục /item/std/0004;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3004#]1747629103,0 1 #3004# 80_296_135
2025-05-06 20:34:07 Vứt bỏ Admin,2002,127.0.0.1,admin @ Trạng Nguyên Phục /item/std/0004;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3004#]1747629103,0 1 #3004# 80_296_135
2025-05-06 20:34:08 Vứt bỏ Admin,2002,127.0.0.1,admin @ Trạng Nguyên Phục /item/std/0004;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3013#]0,0 1 #3013# 80_296_135
2025-05-06 20:34:09 Vứt bỏ Admin,2002,127.0.0.1,admin @ Trạng Nguyên Phục /item/std/0004;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3013#]0,0 1 #3013# 80_296_135
2025-05-06 20:34:09 Vứt bỏ Admin,2002,127.0.0.1,admin @ Trạng Nguyên Phục /item/std/0004;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3013#]0,0 1 #3013# 80_296_135
2025-05-06 20:34:10 Vứt bỏ Admin,2002,127.0.0.1,admin @ Phụng Quan Hà Ấp /item/std/0005;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3018#]0,0 1 #3018# 80_296_135
2025-05-06 20:34:10 Vứt bỏ Admin,2002,127.0.0.1,admin @ Phụng Quan Hà Ấp /item/std/0005;0;0;0;bind:4,ADD:,=:2,+:0,$:500,B:0,;[#3018#]0,0 1 #3018# 80_296_135
